0.0584831,0.992500
0.188515,0.977456
0.320427,0.962370
0.453892,0.947285
0.588963,0.932200
0.725697,0.917116
0.864132,0.902031
1.00432,0.886948
1.14633,0.871864
1.29022,0.856781
1.43604,0.841698
1.58387,0.826616
1.75895,0.809021
1.98840,0.786400
2.24938,0.761265
2.51707,0.736134
2.79192,0.711006
3.07446,0.685878
3.43922,0.654471
3.89555,0.616790
4.37452,0.579115
4.87903,0.541449
5.41257,0.503795
5.97953,0.466153
6.58533,0.428528
7.23682,0.390927
7.94307,0.353349
8.84584,0.309854
9.93646,0.263587
11.0208,0.223772
12.0855,0.190061
13.1335,0.161513
14.1696,0.137287
15.1982,0.116695
16.2217,0.0991911
17.2426,0.0843127
18.7272,0.0665589
20.8357,0.0476409
23.0205,0.0338139
25.3068,0.0237552
28.6543,0.0143424
34.0244,0.00658754
40.1661,0.00281639
47.1354,0.00110910
54.8336,0.000398784
63.0528,0.000126993
72.1801,2.76341e-05
